User,Name,Nationality,Born,Status,Years Active,Team,Alternate IDs,Approx. Total Winnings,Games,Tournament(AoE2),links,achievements,RMVoobly(AoE2)
JorDan_AoE,Marco Bloch,Germany,"December 11, 1991 (age 32)",Active,2002 - 20152017 - Present,,"JorDan_23, JoaDn_105, JorDanTV","$108,573",Age of Empires IIAge of Empires IV(inactive),,"['https://www.jordanaoe.com/', 'https://discord.gg/HwMppjc', 'https://www.instagram.com/JorDan_AoE', 'https://steamcommunity.com/profiles/76561198400058723', 'https://twitter.com/JorDan_AoE', 'https://www.twitch.tv/jordan_aoe', 'https://www.youtube.com/channel/UCimCFIisAqXW9udVhN_LpwQ', 'https://aoezone.net/members/jordan_23.59']","['The Tribal Wars 2012', 'The Medieval Wars 2013', 'War is Coming', 'Battle of Africa', 'Escape Champions League LAN Finals']",2546(highest)
Salsicciotto1999,,Italy,,Active,,,,$261,Age of Empires IIAge of Empires IV(inactive),,['https://www.twitch.tv/salsicciotto999'],,
Redlash,Adriel Reina,Argentina,"April 13, 1998 (age 26)",Active,2018 - Present,AAOE,,$35,Age of Empires IAge of Empires II,,"['https://www.instagram.com/_redlash_', 'https://www.twitch.tv/redlash_']",,
RiuT,Daniel Lima,Brazil,"June 25, 1993 (age 31)",Active,2003 - Present,Killing Generation of Brazil,,"$26,686",Age of Empires II(inactive),,"['https://discord.gg/mvBxNf', 'https://steamcommunity.com/id/riut_aoe', 'https://www.twitch.tv/riut_aoe', 'https://www.youtube.com/channel/UCWk47NDwrg9p696-Usiv8fw', 'https://aoezone.net/members/riut.9687']","['Nations Cup 2009', 'The Brain Champion Cup #3', 'Clan Masters: Invitational']",2475(highest)
Slam,Christopher Gregson,Canada,"November 21, 1988 (age 35)",Active,2009 - Present,,"ZhaoLee, HasanForgiveMe, MalevolentRealm, Snowman1988, _Surya_","$36,018",Age of Empires IIAge of Empires IV(inactive),2164(current)2193(highest),"['https://discord.gg/H7WJQaj', 'https://www.instagram.com/slamaoc', 'https://twitter.com/slamAOE', 'https://www.twitch.tv/slamjam_', 'https://www.youtube.com/channel/UC15K06FB4EO98AMBYqraQ3w', 'https://aoezone.net/members/slam.12412']","['Clan Masters: Invitational', 'Escape Champions League LAN Finals']",2576(highest)
Ronotovi,Alican,Turkey,,Active,,Hot Young Masters,"m3lankolia, f4bi0, alican_v2, rono",$612,Age of Empires II,1942(current)1992(highest),"['https://steamcommunity.com/profiles/76561198171669473', 'https://aoezone.net/members/m3lankolia.35807']",,
AngelinaJolie,Rik Beentjes,Netherlands,"July 15, 1994 (age 30)",Active,2012 - Present,Rulers of Rome,,$825,Age of Empires II(inactive),2010(current)2018(highest),"['https://steamcommunity.com/profiles/76561198327604853', 'https://www.twitch.tv/angelina_jolie', 'https://aoezone.net/members/angelina_jolie.26966']",,2343(highest)
Classicpro,Віктор Вітошко,Ukraine,"August  4, 1995 (age 28)",Active,2013 - Present,SalzZ,"sddfge, Efim0v, LordOfMOS","$11,099",Age of Empires II,2216(current)2219(highest),"['https://steamcommunity.com/profiles/76561198807828662', 'https://t.me/classicpro', 'https://www.vk.com/c_l_a_s_s_i_k', 'https://www.twitch.tv/salzz_classicpro', 'https://aoezone.net/members/salzz_classicpro.57417']",,2280(highest)
Metal,,United States,,Retired,,,"MetalRTS, Vardyn",$277,Age of Empires II(inactive),,,,
FlyLikeDjango,Joshua Fabian Briel,Germany,"February 24, 1997 (age 27)",Active,2020 - Present,,"FLD, Django","$1,322",Age of Empires II(inactive)Age of Empires IV(inactive),1957(current)1994(highest),"['https://discord.gg/HXFSj2R', 'https://www.instagram.com/flylikedjango', 'https://steamcommunity.com/profiles/76561199072158541', 'https://twitter.com/DjangoFly', 'https://www.twitch.tv/flylikedjango', 'https://www.youtube.com/channel/UC7li9aVSk8b94hNEZdDPAcg', 'https://aoezone.net/members/flylikedjango.91017']",,
Xiaofan,,China,1988 (age 35-36),Active,2005 - Present,,"_XD_xiaofan, pity_memory, _NeL_butterfly","$2,435",Age of Empires II(inactive),1955(current)1988(highest),['https://www.douyu.com/1396018'],,2466(highest)
